Day,Campaign Name,Ad Set Name,Ad Name,Amount Spent (USD),Impressions,Link Clicks,Messaging Conversations Started,Purchases,Purchase Conversion Value,Currency
2026-04-08,Spring Promo,Lookalike 1%,Carousel A,150.00,20530,470,51,19,2380.00,USD
2026-04-08,Spring Promo,Lookalike 1%,Video B,114.00,16710,326,14,2,240.00,USD
2026-04-08,Spring Promo,Interest - Yoga,Static C,92.00,10720,242,14,3,365.00,USD
2026-04-08,Brand Awareness,Broad,Video D,295.00,48900,782,13,2,245.00,USD
2026-04-08,Retargeting 30d,Visitors,Carousel E,71.00,6510,248,44,29,3640.00,USD
2026-04-09,Spring Promo,Lookalike 1%,Carousel A,152.00,20720,475,53,21,2630.00,USD
2026-04-09,Spring Promo,Lookalike 1%,Video B,116.00,16820,330,13,2,245.00,USD
2026-04-09,Spring Promo,Interest - Yoga,Static C,94.00,10820,245,13,3,360.00,USD
2026-04-09,Brand Awareness,Broad,Video D,310.00,49200,795,12,1,125.00,USD
2026-04-09,Retargeting 30d,Visitors,Carousel E,73.00,6610,254,46,30,3780.00,USD
2026-04-10,Spring Promo,Lookalike 1%,Carousel A,155.00,20910,481,55,22,2740.00,USD
2026-04-10,Spring Promo,Lookalike 1%,Video B,118.00,16920,334,12,2,245.00,USD
2026-04-10,Spring Promo,Interest - Yoga,Static C,96.00,10920,248,12,2,245.00,USD
2026-04-10,Brand Awareness,Broad,Video D,325.00,49500,808,11,1,130.00,USD
2026-04-10,Retargeting 30d,Visitors,Carousel E,75.00,6710,260,48,32,4000.00,USD
2026-04-11,Spring Promo,Lookalike 1%,Carousel A,158.00,21100,486,57,24,3000.00,USD
2026-04-11,Spring Promo,Lookalike 1%,Video B,120.00,17020,338,11,1,125.00,USD
2026-04-11,Spring Promo,Interest - Yoga,Static C,98.00,11020,251,11,2,250.00,USD
2026-04-11,Brand Awareness,Broad,Video D,340.00,49800,820,10,1,130.00,USD
2026-04-11,Retargeting 30d,Visitors,Carousel E,77.00,6810,266,50,33,4150.00,USD
2026-04-12,Spring Promo,Lookalike 1%,Carousel A,160.00,21280,491,58,25,3120.00,USD
2026-04-12,Spring Promo,Lookalike 1%,Video B,122.00,17120,341,10,1,130.00,USD
2026-04-12,Spring Promo,Interest - Yoga,Static C,100.00,11120,254,10,2,250.00,USD
2026-04-12,Brand Awareness,Broad,Video D,355.00,50100,832,9,1,130.00,USD
2026-04-12,Retargeting 30d,Visitors,Carousel E,79.00,6910,272,52,34,4280.00,USD
2026-04-13,Spring Promo,Lookalike 1%,Carousel A,162.00,21450,495,60,26,3250.00,USD
2026-04-13,Spring Promo,Lookalike 1%,Video B,124.00,17220,344,9,1,130.00,USD
2026-04-13,Spring Promo,Interest - Yoga,Static C,102.00,11220,257,9,1,130.00,USD
2026-04-13,Brand Awareness,Broad,Video D,370.00,50400,844,8,0,0.00,USD
2026-04-13,Retargeting 30d,Visitors,Carousel E,81.00,7010,278,54,35,4400.00,USD
2026-04-14,Spring Promo,Lookalike 1%,Carousel A,164.00,21620,500,62,27,3380.00,USD
2026-04-14,Spring Promo,Lookalike 1%,Video B,126.00,17320,347,8,1,135.00,USD
2026-04-14,Spring Promo,Interest - Yoga,Static C,104.00,11320,260,8,1,130.00,USD
2026-04-14,Brand Awareness,Broad,Video D,385.00,50700,856,7,0,0.00,USD
2026-04-14,Retargeting 30d,Visitors,Carousel E,83.00,7110,284,56,36,4520.00,USD
